Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
81	10276.001	326.39136	10614.16	9569.822	10524.852	794.15796	11097.579	8230.164	1000.0	1000.0	809999	1122.8344	183.8318	1325.0981	-109.58077	-1125.2684	60.03547	6152.765651226044
82	10098.666	540.9761	10673.489	8871.566	10550.369	297.866	10790.154	9736.761	1000.0	1000.0	819999	1124.1895	183.91925	1325.4812	-78.429855	-1126.5721	58.814255	6238.702342987061
83	10096.278	429.059	10810.598	9335.738	10381.823	260.4758	10764.959	9858.806	1000.0	1000.0	829999	1126.3613	185.19647	1326.21	-161.56488	-1128.7988	61.603836	6324.949098348618
84	9496.524	1430.7705	10284.6875	5300.3374	8620.89	2818.0679	10715.464	2632.3494	1000.0	1000.0	839999	1130.4833	184.10847	1327.517	-162.83821	-1132.9261	65.436775	6413.3988535404205
85	10254.285	409.9823	10847.228	9466.489	11098.435	205.66602	11437.648	10644.13	1000.0	1000.0	849999	1132.1057	185.42004	1342.4786	-113.89134	-1134.5548	63.338787	6497.628960132599
86	10425.255	224.61307	10780.255	10075.217	11044.625	181.65405	11278.737	10761.196	1000.0	1000.0	859999	1137.2322	185.20491	1337.0522	-88.739624	-1139.7305	64.406685	6578.743376970291
87	10690.561	173.89316	11096.631	10416.553	10150.387	1892.621	11166.269	4515.152	1000.0	1000.0	869999	1140.4653	187.78506	1341.2058	-235.32112	-1142.908	65.4639	6657.238324642181
88	10250.166	562.534	10912.867	8737.116	11150.598	206.79149	11416.286	10631.46	1000.0	1000.0	879999	1142.1195	192.41699	1341.9833	-442.54465	-1144.5599	66.61027	6733.758556365967
89	10476.854	418.00586	11033.88	9583.57	10669.227	975.20264	11210.717	7799.561	1000.0	1000.0	889999	1143.1218	193.4218	1338.0833	-458.89334	-1145.5693	67.71802	6808.708288908005
90	10700.088	221.23836	10975.755	10359.524	10153.606	1513.1116	11243.922	5708.946	1000.0	1000.0	899999	1146.2378	192.33858	1345.4952	-494.1075	-1148.7147	65.876564	6884.271988630295
